Year,State,Median_Income_All,Median_Income_White,Median_Income_Black,Median_Income_AIAN,Median_Income_Asian,Median_Income_NHPI,Median_Income_Other,Median_Income_Two_Races,Median_Income_White_Non_Hispanic,Median_Income_Hispanic,Gini_Index,Median_Family_Income,Median_Earnings_All,Median_Earnings_Male,Median_Earnings_Female,Total_Population_Education,High_School_Graduate,Some_College_No_Degree,Associates_Degree,Bachelors_Degree,Graduate_Degree
2020,Florida,61144.5,65273.5,45533.5,52218.5,78718.0,59135.0,50153.0,58598.5,66994.0,55311.5,0.48385,73773.5,33936.5,38537.0,30256.0,15623312.0,3713073.5,666720.5,1005248.0,3115432.0,203972.0
2021,Florida,63062.0,68415.0,47028.0,56386.0,81024.0,66875.0,53753.0,59845.0,68839.0,58126.0,0.4869,76199.0,35997.0,40794.0,31554.0,15762122.0,3686864.0,676602.0,1023966.0,3248221.0,225826.0
2022,Florida,69303.0,74559.0,52796.0,70243.0,89645.0,62931.0,61316.0,66563.0,75199.0,64482.0,0.4902,83410.0,39920.0,44641.0,34181.0,16104410.0,3716877.0,646732.0,1065936.0,3445343.0,232162.0
2019,Georgia,61980.0,70832.0,47096.0,35588.0,82158.0,62271.0,48103.0,57721.0,71790.0,52661.0,0.4795,74833.0,35019.0,40395.0,30412.0,7080222.0,1611419.0,328526.0,405768.0,1410395.0,97822.0
2020,Georgia,64269.5,73820.5,49343.0,46170.0,86147.5,73040.5,50978.5,61439.0,74418.5,56147.0,0.47909999999999997,77782.0,36265.5,41386.5,31365.5,7157246.5,1598501.0,336659.5,412410.5,1462204.5,108029.0
2021,Georgia,66559.0,76809.0,51590.0,56752.0,90137.0,83810.0,53854.0,65157.0,77047.0,59633.0,0.4787,80731.0,37512.0,42378.0,32319.0,7234271.0,1585583.0,344793.0,419053.0,1514014.0,118236.0
2022,Georgia,72837.0,82397.0,57293.0,56084.0,102973.0,72597.0,61497.0,72520.0,82642.0,67547.0,0.4736,86642.0,41046.0,46944.0,35671.0,7332980.0,1620608.0,359235.0,448261.0,1519625.0,118108.0
2019,Hawaii,83102.0,84757.0,70048.0,83239.0,90310.0,63236.0,71686.0,80705.0,86471.0,73388.0,0.4397,96462.0,40240.0,44411.0,36077.0,996668.0,245865.0,27556.0,60763.0,219979.0,15050.0
2020,Hawaii,83979.5,82923.5,67362.0,77161.0,90414.5,70603.0,68422.5,83119.5,84012.5,74598.5,0.44745,98676.0,40417.5,45304.0,35872.5,1009177.5,244392.0,26866.0,62842.0,223414.0,15330.0
2021,Hawaii,84857.0,81090.0,64676.0,71083.0,90519.0,77970.0,65159.0,85534.0,81554.0,75809.0,0.4552,100890.0,40595.0,46197.0,35668.0,1021687.0,242919.0,26176.0,64921.0,226849.0,15610.0
2022,Hawaii,92458.0,93098.0,76108.0,58556.0,97742.0,68338.0,80482.0,95885.0,93988.0,78846.0,0.4574,108285.0,45043.0,51447.0,39087.0,1023843.0,244287.0,29623.0,64597.0,226124.0,16917.0
2019,Idaho,60999.0,61761.0,53553.0,37910.0,55681.0,,52920.0,58183.0,62575.0,52827.0,0.4337,72365.0,31111.0,37742.0,24562.0,1170997.0,252180.0,53094.0,99106.0,220189.0,15100.0
2020,Idaho,63736.5,65440.5,55973.0,50145.0,67051.5,,54423.0,58416.0,65983.0,56245.0,0.4457,76179.0,33026.0,39711.5,25895.0,1214281.5,264415.5,57362.5,96023.0,236975.5,14816.0
2021,Idaho,66474.0,69120.0,58393.0,62380.0,78422.0,,55926.0,58649.0,69391.0,59663.0,0.4577,79993.0,34941.0,41681.0,27228.0,1257566.0,276651.0,61631.0,92940.0,253762.0,14532.0
2022,Idaho,72785.0,74133.0,55313.0,52777.0,86111.0,,57915.0,66900.0,74179.0,61854.0,0.4434,85193.0,37395.0,44693.0,29788.0,1280178.0,275314.0,57791.0,102880.0,274409.0,16713.0
2019,Illinois,69187.0,74728.0,39815.0,57688.0,95665.0,,57929.0,70386.0,76426.0,60252.0,0.48,87771.0,39055.0,46333.0,31736.0,8694694.0,1935552.0,320059.0,564910.0,1886240.0,123718.0
2020,Illinois,70696.0,77016.0,40966.5,60807.0,96748.0,,59912.0,68848.5,78060.0,62663.5,0.48119999999999996,89316.0,40279.5,47825.5,33591.0,8712695.5,1905808.0,319494.0,576987.5,1909261.0,129405.5
2021,Illinois,72205.0,79304.0,42118.0,63926.0,97831.0,81512.0,61895.0,67311.0,79694.0,65075.0,0.4824,90861.0,41504.0,49318.0,35446.0,8730697.0,1876064.0,318929.0,589065.0,1932282.0,135093.0
2022,Illinois,76708.0,83346.0,45019.0,66282.0,104287.0,63724.0,71711.0,71185.0,83745.0,72139.0,0.4837,96948.0,44765.0,52013.0,38404.0,8692839.0,1860087.0,327023.0,572448.0,1952990.0,140791.0
2019,Indiana,57603.0,61054.0,36323.0,53077.0,64046.0,32407.0,49100.0,48946.0,61559.0,48310.0,0.4584,73876.0,33756.0,41268.0,27480.0,4502015.0,1286464.0,240361.0,308841.0,777771.0,50812.0
2020,Indiana,60173.0,63311.5,39549.0,49970.5,72497.0,39473.666666666664,52678.5,54431.5,63600.5,52981.5,0.4532,76559.5,35877.0,43209.0,29478.5,4530823.0,1277744.0,244666.5,311588.0,810420.0,53266.5
2021,Indiana,62743.0,65569.0,42775.0,46864.0,80948.0,46540.333333333336,56257.0,59917.0,65642.0,57653.0,0.448,79243.0,37998.0,45150.0,31477.0,4559631.0,1269024.0,248972.0,314335.0,843069.0,55721.0
2022,Indiana,66785.0,70619.0,43638.0,55059.0,83010.0,53607.0,56644.0,59942.0,70748.0,59737.0,0.4561,84508.0,40900.0,48618.0,33627.0,4584460.0,1230358.0,242532.0,331007.0,869217.0,57273.0
2019,Iowa,61691.0,63379.0,35548.0,26255.0,58431.0,63200.0,49012.0,46416.0,64403.0,48346.0,0.4422,78152.0,35837.0,42262.0,30059.0,2123004.0,575335.0,83487.0,149482.0,420199.0,27567.0
2020,Iowa,63645.5,65384.0,38492.0,34598.0,71463.0,62904.0,51488.0,48520.0,66027.5,50214.0,0.44555,81530.0,37452.5,43723.0,31126.0,2130132.5,568969.0,83778.0,155279.5,431038.5,29262.5
2021,Iowa,65600.0,67389.0,41436.0,42941.0,84495.0,62608.0,53964.0,50624.0,67652.0,52082.0,0.4489,84908.0,39068.0,45184.0,32193.0,2137261.0,562603.0,84069.0,161077.0,441878.0,30958.0
2022,Iowa,69588.0,71725.0,38071.0,38997.0,84547.0,49950.0,63939.0,61568.0,71772.0,64447.0,0.4514,90851.0,41625.0,48975.0,35022.0,2159511.0,552775.0,85069.0,154829.0,463740.0,27957.0
2019,Kansas,62087.0,65008.0,40818.0,43397.0,71527.0,66650.0,44441.0,45847.0,66394.0,50216.0,0.45,79006.0,35266.0,41524.0,27519.0,1918081.0,424095.0,79940.0,148250.0,414851.0,23408.0
2020,Kansas,63105.5,65837.0,43172.5,45676.0,79736.0,63633.5,47688.5,51178.5,66681.5,52159.0,0.45494999999999997,80821.5,36668.5,43044.5,29639.5,1930107.0,418856.0,79984.0,156666.0,421157.5,25704.0
2021,Kansas,64124.0,66666.0,45527.0,47955.0,87945.0,60617.0,50936.0,56510.0,66969.0,54102.0,0.4599,82637.0,38071.0,44565.0,31760.0,1942133.0,413617.0,80028.0,165082.0,427464.0,28000.0
2022,Kansas,68925.0,70867.0,47907.0,69211.0,89857.0,78577.0,57858.0,63534.0,71493.0,59276.0,0.4632,89712.0,40394.0,47126.0,33272.0,1944891.0,409444.0,82484.0,158286.0,426910.0,30398.0
2019,Kentucky,52295.0,54089.0,39690.0,31234.0,62314.0,65255.0,37607.0,36215.0,54148.0,49434.0,0.4764,66183.0,32189.0,38545.0,27281.0,3048442.0,814916.0,197727.0,202203.0,453040.0,33342.0
2020,Kentucky,53934.0,56064.5,39468.5,27572.0,66659.5,66206.66666666667,44734.5,39201.5,56114.5,48641.0,0.47605,68121.5,33558.5,39688.5,28783.0,3063154.5,809903.0,200395.5,202956.5,470793.0,34677.5
2021,Kentucky,55573.0,58040.0,39247.0,23910.0,71005.0,67158.33333333333,51862.0,42188.0,58081.0,47848.0,0.4757,70060.0,34928.0,40832.0,30285.0,3077867.0,804890.0,203064.0,203710.0,488546.0,36013.0
2022,Kentucky,59341.0,60987.0,43977.0,43531.0,84447.0,68110.0,54740.0,56359.0,61005.0,57971.0,0.4845,76119.0,37851.0,43482.0,32167.0,3091499.0,806014.0,196657.0,226878.0,508620.0,37210.0
2019,Louisiana,51073.0,61456.0,32700.0,42736.0,62867.0,,34133.0,47644.0,61967.0,42933.0,0.4978,65105.0,32102.0,41101.0,26538.0,3140201.0,893425.0,172601.0,178661.0,503947.0,30516.0
2020,Louisiana,51580.0,63026.5,33138.0,52643.0,61609.5,,41513.5,48549.5,63347.5,48591.0,0.4983,66075.0,33499.0,41898.5,26974.0,3128693.5,872077.0,172657.0,178544.0,513711.0,33856.0
2021,Louisiana,52087.0,64597.0,33576.0,62550.0,60352.0,,48894.0,49455.0,64728.0,54249.0,0.4988,67045.0,34896.0,42696.0,27410.0,3117186.0,850729.0,172713.0,178427.0,523475.0,37196.0
2022,Louisiana,55416.0,67422.0,36166.0,49691.0,66807.0,,50095.0,61563.0,67499.0,57039.0,0.4915,72866.0,37554.0,46317.0,30686.0,3096121.0,840937.0,165247.0,199127.0,525044.0,35332.0
2019,Maine,58924.0,59327.0,45260.0,31859.0,83670.0,,53262.0,41204.0,59384.0,60941.0,0.449,76316.0,35231.0,40678.0,30423.0,991152.0,264179.0,46929.0,61146.0,205722.0,14895.0
2020,Maine,61845.5,62203.5,39606.0,43572.0,76862.5,,59400.5,53903.5,62224.0,63485.5,0.45765,79579.0,37478.0,42938.5,32604.0,1003115.0,258318.0,47533.5,60901.0,215354.5,16975.0
2021,Maine,64767.0,65080.0,33952.0,55285.0,70055.0,114468.0,65539.0,66603.0,65064.0,66030.0,0.4663,82842.0,39725.0,45199.0,34785.0,1015078.0,252457.0,48138.0,60656.0,224987.0,19055.0
2022,Maine,69543.0,70228.0,54996.0,61365.0,81581.0,103629.0,64833.0,59540.0,70260.0,58750.0,0.4601,88063.0,41192.0,46286.0,36498.0,1030141.0,261555.0,49223.0,58519.0,229764.0,17210.0
2019,Maryland,86738.0,96724.0,68377.0,57692.0,108105.0,67950.0,69924.0,85680.0,97500.0,74631.0,0.4558,105679.0,45891.0,51361.0,40552.0,4183858.0,903664.0,126972.0,244221.0,911781.0,114226.0
2020,Maryland,88470.5,98852.0,70083.5,59203.0,110611.0,107081.5,71042.0,87896.5,99339.0,77831.5,0.45945,108328.5,48219.5,53469.5,42229.0,4228559.0,895894.0,128947.5,251004.0,934157.0,115102.0
2021,Maryland,90203.0,100980.0,71790.0,60714.0,113117.0,146213.0,72160.0,90113.0,101178.0,81032.0,0.4631,110978.0,50548.0,55578.0,43906.0,4273260.0,888124.0,130923.0,257787.0,956533.0,115978.0
2022,Maryland,94991.0,107160.0,77368.0,71440.0,117771.0,146213.0,72980.0,99027.0,107314.0,82138.0,0.4589,117294.0,52436.0,59729.0,46337.0,4286216.0,882566.0,127022.0,261327.0,996167.0,129354.0
