State,Year,Median_Income_All,Median_Income_White,Median_Income_Black,Median_Income_AIAN,Median_Income_Asian,Median_Income_NHPI,Median_Income_Other,Median_Income_Two_Races,Median_Income_White_Non_Hispanic,Median_Income_Hispanic,Gini_Index,Median_Family_Income,Median_Earnings_All,Median_Earnings_Male,Median_Earnings_Female,Total_Population_Education,High_School_Graduate,Some_College_No_Degree,Associates_Degree,Bachelors_Degree,Graduate_Degree
National,2019,65712,69823,43862,45476,93759,66464,53097,62085,71664,55658,0.4811,80944,36519,42101,30944,224898568,51584272,8898081,13906208,45730479,3323850
Alabama,2021,53913,62496,36058,48139,84745,58696,40722,52917,62545,44747,0.4823,71006,34925,41859,27771,3451208,902759,176526,215235,572276,45110
Unknown,2021,22237,21782,22156,24438,,-666666666,20954,24110,31963,22190,0.5423,27669,17843,17960,17719,2401409,619884,52056,31256,493356,33486
Arizona,2021,69056,73604,54765,42397,91289,89655,59089,60630,75017,59561,0.4629,81622,39023,43815,34378,4980297,967537,200520,380056,985673,76263
Arkansas,2021,52528,56707,36292,48188,85380,47838,46382,54916,56847,51613,0.4751,66148,33869,38212,29667,2037763,572881,122181,137609,324137,21775
California,2021,84907,93981,58936,68988,109675,78988,66120,77353,96566,70081,0.4924,97388,41891,48580,36228,26909869,4909898,669099,1637010,5958030,511191
Colorado,2021,82254,87052,58655,55016,94467,63504,61156,69739,88715,63547,0.4604,102073,44818,51279,38153,4044182,658973,155400,239829,1107309,82500
Connecticut,2021,83771,93318,58565,83504,112170,18148,51535,66287,94548,54754,0.4985,106576,45511,51937,38493,2534376,568748,78028,138850,587690,48686
Delaware,2021,71091,76648,55604,,111860,-666666666,56900,56382,76655,56472,0.4547,87132,41374,46638,35353,711104,178620,22746,41763,146295,11932
District of Columbia,2021,90088,146265,52812,,110029,-666666666,59997,106059,145975,89612,0.5305,136184,72457,77456,66861,478774,59776,11149,14618,120771,23602
Florida,2021,63062,68415,47028,56386,81024,66875,53753,59845,68839,58126,0.4869,76199,35997,40794,31554,15762122,3686864,676602,1023966,3248221,225826
